PeriodId,cHRev-131-farreplacerandom,AuthorshipRec-132-farreplacerandom,RevOwnRec-133-farreplacerandom,RetentionRec-134-farreplacerandom,LearnRec-135-farreplacerandom,TurnoverRec-136-farreplacerandom,WhoDo-137-farreplacerandom,cHRev-139-add,AuthorshipRec-140-add,RevOwnRec-141-add,RetentionRec-142-add,LearnRec-143-add,TurnoverRec-144-add,WhoDo-145-add,TurnoverRec-146-addAndReplace,TurnoverRec-147-addHoarded_2,TurnoverRec-148-addHoarded_3,TurnoverRec-149-addHoarded_4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,3.75,3.75,3.75,3.75,3.75,3.75,3.75,0,1.25,0,0
11,0,0,0,0,0,0,0,5.98802395209581,5.98802395209581,5.98802395209581,5.98802395209581,5.98802395209581,5.98802395209581,5.98802395209581,1.19760479041916,2.9940119760479,2.39520958083832,1.19760479041916
12,0,0,0,0,0,0,0,3.08219178082192,3.08219178082192,3.08219178082192,3.08219178082192,3.08219178082192,3.08219178082192,3.08219178082192,0.684931506849315,2.3972602739726,1.71232876712329,1.36986301369863
13,0,0,0,0,0,0,0,3.28638497652582,3.28638497652582,3.28638497652582,3.28638497652582,3.28638497652582,3.28638497652582,3.28638497652582,0.938967136150235,2.34741784037559,0.938967136150235,0.938967136150235
14,0,0,0,0,0,0,0,10.1923076923077,10.1923076923077,10.1923076923077,10.1923076923077,10.1923076923077,10.1923076923077,10.1923076923077,2.69230769230769,5.76923076923077,3.46153846153846,2.11538461538462
15,0,0,0,0,0,0,0,10.192023633678,10.192023633678,10.192023633678,10.192023633678,10.192023633678,10.192023633678,10.192023633678,0.886262924667651,5.31757754800591,3.10192023633678,2.36336779911374
16,0,0,0,0,0,0,0,11.3924050632911,11.3924050632911,11.3924050632911,11.3924050632911,11.3924050632911,11.3924050632911,11.3924050632911,1.58227848101266,5.06329113924051,2.37341772151899,1.74050632911392
17,0,0,0,0,0,0,0,10.8148148148148,10.8148148148148,10.8148148148148,10.8148148148148,10.8148148148148,10.8148148148148,10.8148148148148,1.18518518518519,5.48148148148148,2.81481481481481,2.37037037037037
18,0,0,0,0,0,0,0,11.6167664670659,11.6167664670659,11.6167664670659,11.6167664670659,11.6167664670659,11.6167664670659,11.6167664670659,1.67664670658683,6.46706586826347,4.07185628742515,3.23353293413174
19,0,0,0,0,0,0,0,18.2498130142109,18.2498130142109,18.1750186985789,18.2498130142109,18.1750186985789,18.1750186985789,18.1750186985789,1.79506357516829,8.67614061331339,5.0112191473448,3.7397157816006
20,0,0,0,0,0,0,0,16.8374816983895,16.8374816983895,16.8374816983895,16.8374816983895,16.8374816983895,16.8374816983895,16.8374816983895,1.61054172767204,7.46705710102489,4.61200585651537,3.22108345534407
21,0,0,0,0,0,0,0,16.3725490196078,16.3725490196078,16.5686274509804,16.3725490196078,16.3725490196078,16.3725490196078,16.3725490196078,1.27450980392157,5.68627450980392,3.23529411764706,1.37254901960784
22,0,0,0,0,0,0,0,18.4434968017058,18.3368869936034,18.4434968017058,18.3368869936034,18.4434968017058,18.3368869936034,18.4434968017058,0.852878464818763,6.28997867803838,3.19829424307036,1.70575692963753
23,0,0,0,0,0,0,0,18.0722891566265,18.0722891566265,18.0722891566265,18.0722891566265,18.1818181818182,18.0722891566265,18.1818181818182,1.20481927710843,7.77656078860898,4.49069003285871,3.50492880613363
24,0,0,0,0,0,0,0,21.9866071428571,21.9866071428571,21.9866071428571,21.9866071428571,21.9866071428571,21.9866071428571,22.0982142857143,1.11607142857143,8.37053571428571,5.13392857142857,3.57142857142857
25,0,0,0,0,0,0,0,18.4322033898305,18.4322033898305,18.6440677966102,18.4322033898305,18.5381355932203,18.4322033898305,18.6440677966102,0.211864406779661,7.41525423728813,4.8728813559322,3.60169491525424
26,0,0,0,0,0,0,0,22.81284606866,22.81284606866,23.0343300110742,22.81284606866,22.81284606866,22.81284606866,23.0343300110742,1.55038759689922,10.5204872646733,6.2015503875969,4.20819490586932
27,0,0,0,0,0,0,0,20.1783723522854,20.1783723522854,20.5128205128205,20.1783723522854,20.4013377926421,20.1783723522854,20.1783723522854,0.891861761426979,9.69899665551839,5.12820512820513,3.90189520624303
28,0,0,0,0,0,0,0,21.6330858960764,21.6330858960764,21.7391304347826,21.6330858960764,21.8451749734889,21.7391304347826,21.8451749734889,2.4390243902439,10.0742311770944,4.13573700954401,2.54506892895016
29,0,0,0,0,0,0,0,24.3574051407589,24.4798041615667,24.3574051407589,24.3574051407589,24.4798041615667,24.3574051407589,24.3574051407589,2.08078335373317,12.8518971848225,6.48714810281518,5.50795593635251
30,0,0,0,0,0,0,0,22.2340425531915,22.2340425531915,22.2340425531915,22.2340425531915,22.3404255319149,22.2340425531915,22.2340425531915,2.02127659574468,12.5531914893617,5.85106382978723,3.93617021276596
31,0,0,0,0,0,0,0,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.6666666666667,2.33333333333333,15.8888888888889,7.22222222222222,5.44444444444444
32,0,0,0,0,0,0,0,25.6660746003552,25.5772646536412,25.6660746003552,25.5772646536412,25.7548845470693,25.5772646536412,25.6660746003552,1.86500888099467,15.0976909413854,7.72646536412078,5.41740674955595
33,0,0,0,0,0,0,0,29.7948260481713,29.7948260481713,29.7948260481713,29.7948260481713,29.7948260481713,29.7948260481713,29.7948260481713,2.94380017841213,18.1980374665477,11.4183764495986,7.76092774308653
34,0,0,0,0,0,0,0,33.1389698736638,33.1389698736638,33.1389698736638,33.1389698736638,33.1389698736638,33.1389698736638,33.3333333333333,3.49854227405248,22.8377065111759,13.7026239067055,11.175898931001
35,0,0,0,0,0,0,0,25.4954954954955,25.4054054054054,25.4054054054054,25.4054054054054,25.4954954954955,25.4054054054054,25.4954954954955,3.06306306306306,17.3873873873874,11.5315315315315,9.00900900900901
36,0,0,0,0,0,0,0,25.3064798598949,25.3064798598949,25.3940455341506,25.3064798598949,25.4816112084063,25.3064798598949,25.3940455341506,1.57618213660245,17.5131348511384,9.89492119089317,7.09281961471103
37,0,0,0,0,0,0,0,23.7942122186495,23.4726688102894,23.7942122186495,23.1511254019293,23.7942122186495,23.1511254019293,23.4726688102894,2.57234726688103,15.112540192926,7.71704180064309,6.10932475884244
ReviewerPlusPlus_Lifetime,0,0,0,0,0,0,0,20.07302442841,20.0599843519082,20.1121446579153,20.0512909675737,20.1164913500826,20.0512909675737,20.1164913500826,1.73867686690429,10.6493958097888,5.99408849865253,4.35538555159524
